จีเอ็มเอ็ม แกรมมี่ เพลส,15บาท
อาคารชิโน-ไทย,15บาท
อาคารไทม์สแควร์,15บาท
ตรงข้ามโรงแรมไฮแอทรีเจนซี,15บาท
BTS นานา (ทางออก 2),15บาท
เพลินจิตเซ็นเตอร์,15บาท
BTS เพลินจิต (ทางออก 4),15บาท
อาคารต้นสน,15บาท
BTS ชิดลม (ทางออก 2),15บาท
เพนนินซูล่าพลาซ่า,15บาท
BTS ราชดำริ (ทางออก 2),15บาท
เอยู่เอ,20บาท
สวนลุมพินี (ฝั่งราชดำริ),20บาท
ตรงข้าม รพ.จุฬาลงกรณ์,20บาท
วัดหัวลำโพง,20บาท
ไอดีโอคิว สามย่าน,20บาท
คริสตจักรสะพานเหลือง,20บาท
ศาลแรงงานกลาง,20บาท
MRT หัวลำโพง (ทางออก 4),20บาท
ตรงข้ามวัดไตรมิตร,20บาท
รพ.เทียนฟ้ามูลนิธิ,20บาท
แยกเฉลิมบุรี,20บาท
ตลาดเก่าเยาวราช,20บาท
ตรงข้ามวัดตึก,20บาท
วงบูรพา,20บาท
สวนรมณินาถ,20บาท
สน.สำราญราษฎร์ (ฝั่งมหาไชย),20บาท
วัดราชนัดดาราม,20บาท
นิทรรศน์รัตนโกสินทร์,20บาท
ศาลาว่าการ กทม.,20บาท
เสาชิงช้า,20บาท
โรงเรียนเบญจมราชาลัย,20บาท
